Text,Section,Publication,Title,Date
"8 billion in the third quarter, exceeding wall street estimates and doubling the year-earlier profit for the period. on a per-share basis, gm earned $1.72, which exceeded the $1.44 average estimate. fiat chrysler earnings up, beating expectations fiat chrysler automobiles said tuesday it earned a profit of $659 million in the third quarter",MONEY; Pg. 1B,USA TODAY,GM posts best Q3 results since exiting bankruptcy,10/26/16
""" duterte expressed anger at u.s. assistant secretary of state daniel russel, who arrived in the philippines on sunday. russel was seeking clarification on duterte's remarks in china last week indicating he was cutting military and economic ties with the u.s. duterte had announced a ""separation"" from the united states, later saying he meant his nation would pursue an independent foreign policy. he also told the chinese he was aligning with them because ""america has lost."" ""i am also not a lapdog of any country,"" he added. --john bacon american wins man booker prize for fiction paul beatty became the first u.s. author to win the prestigious man booker prize on tuesday. beatty's the sellout, a satirical look at race relations in the united states, garnered the 50,000-pound ($61,000) man booker prize, which previously was open only to writers from britain, ireland and the commonwealth, partly over fears of potential american dominance. (the commonwealth is an alliance of countries that used to be part of the british empire.) ottessa moshfegh's eileen, a character study set in small-town america, another book written by a u.s. national, also was in the final running for the prize. --kim hjelmgaard also ... conflicting claims of responsibility emerged tuesday for the attack on a pakistani police academy that killed at least 61 trainees, officials said. three suicide bombers stormed the training center in quetta, pakistan, and held hostages for several hours before detonating explosive vests. a small amount of radioactive iodine leaked from a nuclear reactor in norway before it was contained, authorities said tuesday",NEWS; Pg. 3A,USA TODAY,IN BRIEF,10/26/16
"25m trump donation,"" i felt zuckerberg was being self-serving by ""protecting"" a business associate. facebook started as an open social network. while there are topics that should be considered inappropriate and flagged, like isil recruitment, others topics like hunting, shooting or firearms shouldn't be discouraged just because some people are uncomfortable with them. zuckerberg's remark regarding thiel, ""there are many reasons a person might support trump that do not involve racism, sexism, xenophobia or accepting sexual assault,"" shows that he doesn't get it -- and most likely never will. the vast majority of the people who support trump do so because they don't like the direction this country is going. trump's supporters want to see someone who can move the country back to a course that will allow its citizens to live healthy and productive lives. they are sick and tired of all the lies and promises that the politicians have made throughout the decades and have decided that it is time to instill the ""fear of god"" in our politicians. richard theriault toledo, ohio facebook never underestimate a liberal's ability to support all forms of diversity of thought and acts, except those which with they disagree. travis turner they want to paint this like ""we are for diversity but not for donald trump's bigotry,"" but very soon you will not be able to keep a job just for coming out as a republican -- no matter which candidate is on their platform",NEWS; Pg. 6A,USA TODAY,Zuckerberg backs the indefensible,10/26/16
" no, it's not life threatening, but it is disconcerting. i am seriously addicted to viewing the latest presidential polls. my mood, in fact, the tone of my whole day is set by what i see. if my candidate (hillary clinton) is up 2 percentage points in the polls: elation. if she is down 2 percentage points: dejection. i can't seem to help myself. polls are the first thing i check in the morning and the last thing i check at night. my wife, not only an enabler, is equally addicted. fortunately, the solution is simple and inevitable. all that is required to break this ""dangerous"" addiction is for me to wake on nov. 9, the day after the election. at this time, reality will set in and my worst fears, or my greatest hopes, will have actually been realized and my addiction will only be a memory. ken derow swarthmore, pa. twitter we asked our followers what they want to hear from donald trump and hillary clinton in the final stretch.  for more, follow @usatopinion or #tellusatoday. i want to hear clinton say, in her own words, why she's not corrupt and hear more about how she plans to build economy. @hatermaker82 honestly? nothing. i'm burned out. @rashadalaiyan from clinton: ""thank you for your support."" from trump: ""i apologize for my entire campaign and hereby resign from running."" @lynnlmayer ""we are both pulling out of the race. the world deserves better. sorry for the aggravation we caused."" @postalpat19805 from clinton: plans to bring more people together and break the logjam in congress",NEWS; Pg. 6A,USA TODAY,This election season has Americans burned out,10/26/16
" it's from the 'hidden figures' soundtrack. good day paisley park after weeks of zoning problems, prince's former home and studio complex in chanhassen, minn., got the official ok to permanently operate as a museum. they said what? the stars' best quotes ""to make you proud that you chose to honor me tonight, i am going to be the nastiest of all nasty women."" -- helen mirren, invoking donald trump's infamous invective at monday's elle women in hollywood awards. she advised women to ignore criticism about their appearance, especially if it comes from ""some anonymous, miserable creep lurking on the internet"" or ""a bloated, small-headed, dinosaur-handed candidate for president."" style star nicole kidman, who says her daughter inspired her to start dressing up again, was an art nouveau goddess at monday's 'instyle' awards in los angeles. she wore a black and pale-pink atelier versace number with cutouts. it's your birthday who's celebrating today seth macfarlane is 43. keith urban is 49",LIFE; Pg. 1D,USA TODAY,HOW WAS YOUR DAY?,10/26/16
"4 million ahead of last fall's start. time to vote wednesday's final presidential debate claimed 71.6 million viewers, making it the third most-watched debate in history, behind september's first clinton-trump debate and a lone carter-reagan face-off in 1980",LIFE; Pg. 3D,USA TODAY,BEYOND THE NUMBERS; THE NEWS BEHIND THE RATINGS,10/26/16
" the goldbergs (8 et/pt) kicks off with adam writing a stephen king-inspired horror novel about his mother. that's followed by jimmy's disappointment that the kids won't dress up on speechless (8:30 et/pt), the dunphy clan coming to luke's rescue when his party goes bust on modern family (9 et/pt), and dre trying to prove he's the prank-master on black-ish (9:30 et/pt). law & order: svu nbc, 9 et/pt anthony edwards guests as a cop whose son is accused of rape in an episode that represents a reunion with star mariska hargitay that's been 18 years in the making. back in 1998, hargitay had an extended er guest stint as cynthia hooper, who had a fling with edwards' mark greene. don't expect any similar sparks this week -- apparently, edwards' cop is not happy with benson's treatment of his son. rectify sundance, 10 et/pt this excellent series begins its fourth and final season, which means, for a brief while, clayne crawford will pull off the rare feat of starring in two first-run series at the same time -- and on the same night, yet. you can see him here as ted talbot, and on fox's lethal weapon (8 et/pt) as martin riggs",LIFE; Pg. 5D,USA TODAY,CRITIC'S CORNER,10/26/16
" steve turner's new biography beatles '66: the revolutionary year (ecco, 464, *** out of four) narrows in on the  midpoint of the band's career, which begins, unremarkably, with a badly needed break from the business of being beatles. off the road and out of the studio for the first time in ages, the weary quartet settle into their own lives in and around london, sopping up avant-garde culture and experimenting with mind-altering drugs. when they reassemble at abbey road in april to record tomorrow never knows, john lennon's rendering of an acid trip, the transformation is unmistakable. as bob dylan vastly underestimates when he hears the song: ""oh, i get it. you don't want to be cute anymore."" the meat of the story is familiar  even to casual fans, who are at least glancingly acquainted with the group's seemingly sudden transition from love songs to psychedelic rock. what music journalist turner brings to his rambling retelling is fantastic access (the book draws upon his interviews with the beatles, as well as producer george martin and george harrison's mentor, ravi shankar) and an extraordinary, peter guralnick-like (last train to memphis: the rise of elvis presley) attention to detail. interestingly, the author  takes an occasionally disappointed view of both lennon and paul mccartney. turner repeatedly references the former's laziness and fixates on the latter's imperfect recall -- most notably, paul's assertion that he tried lsd in late 1966 (rather than 1965), which would have placed him in a significantly different headspace while working on the pivotal revolver album. what the book does particularly well is glimpsing the bandmates in their unguarded moments -- for example, a terrified lennon weeping as the implications of his ""we're more popular than jesus"" remark sink in. equally striking is turner's depiction of four friends readying for the inevitability of life beyond the beatles but still preferring each other's company, touchingly so when ringo starr, missing his mate, flies to spain to spend lennon's 26th birthday with him. turner clearly establishes that the beatles were more than pop stars. ""inner changes and fresh influences don't always combine to create new art,"" he writes, marveling at the combustion that would take place",LIFE; Pg. 5D,USA TODAY,"For The Beatles, 1966 sparked a revolution; That's the year fans see how the group evolved",10/26/16
" 1 debut, hosted saturday night live and is about to take on the title role in disney's mary poppins returns opposite lin-manuel miranda. what did she pack for her recent promo tour? (hint: it was good.) usa today's andrea mandell takes a look. aug. 18.  a show of sweet support in one of her first post-baby public appearances, the mother of two stunned in a white cutout david koma cocktail dress while accompanying husband john krasinski to his premiere of the hollars (krasinski directs and stars). blunt told usa today she's taking on the role of mary poppins as a ""gift"" to her daughters, hazel, 2, and violet, 4 months, whom she raises in new york with krasinski. sept. 14  focusing on fashion week sitting front-row at new york fashion week, it's a no-brainer to wear the designer who invited you. blunt wore a mod michael kors ensemble for her trip. sept. 20 splash across the pond blunt  launched girl on a train  in london, where train tracks subbed in for the standard red carpet. she chose a colorful embroidered alexander mcqueen gown at the big premiere. ""it's gradually -- and i mean 'gradually,' it's certainly not coming in a big wave -- but it's gradually becoming less of a shock horror when a film centered around women makes money,"" blunt told usa today. sept. 21  hitting the promo trail for a promotional stop, blunt chose separates, donning a sheer burberry blouse and a printed sachin & babi noir skirt. what can we expect from the future mary poppins? according to disney, the rob marshall-directed film will take place in depression-era london and follow the children from the original story, jane and michael banks, who are now grown. (michael has three children of his own.) they are visited by mary poppins  after a personal loss. oct. 4  taking her 'girl' to the big apple the actress streamlined her look for her big nyc premiere, choosing a custom seafoam prada gown with contrast blue piping. oct. 6  lighting up late-night lucky be a lady in valentino. while visiting the late show with stephen colbert, blunt wore a nude shell and a brightly hued lace pencil skirt with bold lipstick in a matching hue. oct. 15  city chic if blunt was nervous hosting saturday night live, you couldn't tell. (but fierce fashion is a known nerves-killer",LIFE; Pg. 6D,USA TODAY,Girl on a (style) train,10/26/16
", wants voters to be very, very afraid of his opponent, former police officer paul penzone. so what could be better than an ad that claims that penzone assaulted his wife? a lot actually, since it is a gross overstatement. the charge stems from an argument that penzone and his then-wife had  13 years ago when they were in the final stages of a failing marriage. penzone said at the time that his wife hit him with a hockey stick. she responded by claiming  that he pushed her against the wall. no charges were filed, and a judge dismissed restraining-order requests. this year, penzone's ex-wife threw more cold water on the claim, saying that he was not physically aggressive. but why let the facts get in the way of a good attack ad? medicare scare in illinois at first glance, the ad run by illinois democrat kate cloonen seems like routine stuff. she suggests that her republican opponent, lindsay parkhurst, would take away seniors' medicare and social security. democrats make that case frequently. but normally, they can point to some vote long ago to make modest or necessary reductions in federal spending to support their claim. in this case, the ad is not backed up by the slightest scintilla of evidence. what makes it even more absurd is that the office that cloonen currently holds, and that parkhurst is seeking, is a seat in the state legislature. even if parkhurst wanted to end the two signature federal programs for retirees, she'd have a hard time doing so from her perch in springfield. surely, cloonen can come up with something better than this. fighting the phantom grocery tax if there were an award for ads that are both false and laughable, this year's would have to go to one being run by a california beverage industry group urging residents of oakland to vote against a proposed ""grocery tax."" the ad asserts that the tax would harm small groceries, many of which are doing wonderful things for their communities. one grocer featured in the ads, kay kay amamgbo, proprietor of the african caribbean food market, implores voters not to support the tax. ""there are not a lot of options for fresh food in this neighborhood,"" she says. amamgbo is appealing, and so is the produce the camera zeroes in on as she's talking. but there's one small problem with the ad. there is no grocery tax on the ballot in oakland. the proposal is for a penny-per-ounce excise tax on sugary drinks. maybe ads need nutrition labels. donald trump's dystopic vision of hillary clinton no list of bad ads would be complete without one from donald trump, the venomous and self-destructive republican presidential nominee. the ad that seems to best capture his approach to campaigning asserts that hillary clinton got ""filthy rich"" from ""criminals, dictators, countries that hate america."" this commercial presents a remorselessly bleak picture of the clinton foundation, the non-profit organization founded by her husband. to be sure, the foundation raises issues about the motives behind foreign contributions, and it has served as a comfy resting spot for loyal clinton aides. but it is also a charitable institution doing good works at home and abroad. and hillary clinton's wealth comes mostly from six-figure speaking fees and seven-figure book deals, not from money derived from the foundation. president obama habla espanol? if it sometimes seems like politicians are just repeating their talking points or reading the lines placed in front of them, an ad run by patrick murphy, the democratic candidate for senate in florida, provides ample fodder. murphy, who is challenging republican incumbent marco rubio, needs the support of the state's large latino population. he also knows that president obama is popular with the democratic voters he needs to turn out in huge numbers. the candidate got obama to tape an ad for him, in spanish. in the commercial, obama touts murphy's accomplishments and says words that translate to ""go out and vote for patrick, your vote is very important."" as most people know, obama hardly speak spanish",NEWS; Pg. 7A,USA TODAY,"The 5 worst political ads of 2016; Believe it or not, this year's crop of election commercials contains fewer really bad ads than in previous cycles. We have, nonetheless, persevered to find some of the most misleading.",10/26/16
