Count,Varietal
1,
1,Aidani
1,Albanello
1,Athiri
1,Babosa Negro
1,Barbera-Nebbiolo
1,Biancale
1,Biancolella
1,Biancu Gentile
1,Blatina
1,Blauburger
1,Blauburgunder
1,Bobal-Cabernet Sauvignon
1,Bombino Nero
1,Cabernet Sauvignon-Barbera
1,Cabernet-Malbec
1,Caprettone
1,Carcajolu
1,Catalanesca
1,Centesimino
1,Cercial
1,Chardonel
1,Chardonnay-Pinot Gris
1,Chardonnay-Riesling
1,Cococciola
1,Colorino
1,Dafni
1,Diamond
1,Doña Blanca
1,Ekigaïna
1,Espadeiro
1,Favorita
1,Folle Blanche
1,Forcallà
1,Francisa
1,Franconia
1,Frankovka
1,Früburgunder
1,Gamza
1,Garnacha-Cabernet
1,Garnacha-Cariñena
1,Gelber Traminer
1,Graševina
1,Grenache Gris
1,Gros Plant
1,Irsai Oliver
1,Jampal
1,Kangoun
1,Karalahna
1,Karasakiz
1,Kinali Yapincak
1,Kotsifali
1,Kuntra
1,Loureiro-Arinto
1,Macabeo-Moscatel
1,Malagouzia-Chardonnay
1,Malbec-Carménère
1,Maria Gomes-Bical
1,Mavrokalavryta
1,Mavrotragano
1,Mavroudi
1,Merlot-Argaman
1,Merlot-Grenache
1,Merlot-Petite Verdot
1,Merlot-Shiraz
1,Merseguera-Sauvignon Blanc
1,Meseguera
1,Misket
1,Molinara
1,Morava
1,Moscato di Noto
1,Moschofilero-Chardonnay
1,Muscadel
1,Ojaleshi
1,Ondenc
1,Orangetraube
1,Otskhanuri Sapere
1,Paralleda
1,Parraleta
1,País
1,Petit Courbu
1,Petit Meslier
1,Picapoll
1,Pignolo
1,Pinot Blanc-Pinot Noir
1,Pinot Blanc-Viognier
1,Pinot Grigio-Sauvignon Blanc
1,Pinot Gris-Gewürztraminer
1,Pinotage-Merlot
1,Piquepoul Blanc
1,Premsal
1,Prunelard
1,Ramisco
1,Riesling-Chardonnay
1,Roditis-Moschofilero
1,Roscetto
1,Roussanne-Grenache Blanc
1,Ryzlink Rýnský
1,Sauvignon Blanc-Assyrtiko
1,Sauvignon Blanc-Sauvignon Gris
1,Sauvignon Musqué
1,Sauvignon-Sémillon
1,Sauvignonasse
1,Schwartzriesling
1,Sercial
1,Shiraz-Roussanne
1,Sideritis
1,Siegerrebe
1,Silvaner-Traminer
1,St. Vincent
1,Syrah-Bonarda
1,Syrah-Grenache-Viognier
1,Syrah-Malbec
1,Tamianka
1,Tempranillo-Malbec
1,Tempranillo-Tannat
1,Teroldego Rotaliano
1,Terrantez
1,Thrapsathiri
1,Tinta Amarela
1,Tinta Madeira
1,Tinta Negra Mole
1,Tintilia 
1,Tinto Velasco
1,Tokay Pinot Gris
1,Torontel
1,Trajadura
1,Tsapournakos
1,Tsolikouri
1,Valvin Muscat
1,Verdil
1,Verdosilla
1,Vermentino Nero
1,Vespaiolo
1,Vidadillo
1,Viognier-Valdiguié
1,Vital
1,Vranac
1,Xinisteri
1,Zelen
1,Žilavka
2,Albarossa
2,Alvarelhão
2,Ansonica
2,Apple
2,Bacchus
2,Baga-Touriga Nacional
2,Bastardo
2,Black Monukka
2,Blauer Portugieser
2,Bombino Bianco
2,Cabernet Franc-Carmenère
2,Cabernet Franc-Lemberger
2,Cabernet Moravia
2,Cabernet Pfeffer
2,Cabernet Sauvignon Grenache
2,Cabernet-Shiraz
2,Cariñena-Garnacha
2,Cayuga
2,Cesanese
2,Chancellor
2,Chardonnay Weissburgunder
2,Chardonnay-Albariño
2,Chelois
2,Durif
2,Feteasca
2,Freisa
2,Garnacha Blend
2,Gouveio
2,Gragnano
2,Grignolino
2,Groppello
2,Hárslevelü
2,Kadarka
2,Madeleine Angevine
2,Malbec-Tempranillo
2,Malvar
2,Malvasia Fina
2,Malvasia di Candia
2,Mandilaria
2,Maria Gomes
2,Marquette
2,Marsanne-Viognier
2,Merlot-Syrah
2,Monastrell-Petit Verdot
2,Morio Muskat
2,Moscatel Graúdo
2,Moscato Rosa
2,Muscadine
2,Nasco
2,Other
2,Pigato
2,Plyto
2,Portuguiser
2,Rabigato
2,Rara Neagra
2,Rebo
2,Rosenmuskateller
2,Roviello
2,Rufete
2,Sacy
2,Saperavi-Merlot
2,Shiraz-Tempranillo
2,Sirica
2,Tamjanika
2,Tempranillo-Syrah
2,Tinta Cao
2,Tinta del Pais
2,Torbato
2,Trollinger
2,Tămâioasă Românească
2,Uvalino
2,Vespolina
2,Viognier-Gewürztraminer
2,Viura-Verdejo
2,White Port
2,Xynisteri
2,Yapincak
2,Zlahtina
2,Çalkarası
3,Abouriou
3,Airen
3,Argaman
3,Asprinio
3,Azal
3,Cabernet Sauvignon-Merlot-Shiraz
3,Canaiolo
3,Carignan-Syrah
3,Cerceal
3,Chinuri
3,Ciliegiolo
3,Clairette
3,Debit
3,Erbaluce
3,Garnacha-Monastrell
3,Grenache Noir
3,Grolleau
3,Incrocio Manzoni
3,Jacquez
3,Lambrusco Salamino
3,Listán Negro
3,Madeira Blend
3,Malbec Blend
3,Malbec-Cabernet
3,Malvasia-Viura
3,Marawi
3,Marzemino
3,Melnik
3,Merlot-Tannat
3,Moscatel de Alejandría
3,Mourvèdre-Syrah
3,Muscat Blanc à Petits Grains
3,Muscat d'Alexandrie
3,Muscat of Alexandria
3,Muscatel
3,Nielluciu
3,Nuragus
3,Papaskarasi
3,Pinot Noir-Syrah
3,Poulsard
3,Pugnitello
3,Rebula
3,Rivaner
3,Romorantin
3,Shiraz-Cabernet
3,Shiraz-Malbec
3,Shiraz-Mourvèdre
3,Souzao
3,Syrah-Petit Verdot
3,Tinta Francisca
3,Tinta Miúda
3,Tinta del Toro
3,Touriga
3,Trebbiano di Lugana
3,Treixadura
3,Trousseau Gris
3,Ugni Blanc
3,Verduzzo Friulano 
3,Viognier-Grenache Blanc
3,Viognier-Marsanne
3,Vitovska
4,Babić
4,Bovale
4,Boğazkere
4,Cabernet Franc-Malbec
4,Códega do Larinho
4,Edelzwicker
4,Elbling
4,Emir
4,Fer Servadou
4,Grenache-Shiraz
4,Macabeo-Chardonnay
4,Magliocco
4,Malagouzia
4,Malbec-Petit Verdot
4,Mansois
4,Marselan
4,Mazuelo
4,Monica
4,Muscat Hamburg
4,Muskat
4,Pignoletto
4,Pinot Blanc-Chardonnay
4,Robola
4,Roditis
4,Rolle
4,Sangiovese Cabernet
4,Sauvignon Blanc-Chenin Blanc
4,Sauvignon Blanc-Verdejo
4,Syrah-Carignan
4,Veltliner
4,Vilana
4,Vinhão
4,Vranec
5,Aleatico
5,Alicante
5,Alvarinho-Chardonnay
5,Braucol
5,Carineña
5,Casavecchia
5,Chardonnay-Pinot Blanc
5,Malbec-Bonarda
5,Mavrodaphne
5,Mtsvane
5,Muskateller
5,Pallagrello Bianco
5,Pallagrello Nero
5,Roussanne-Marsanne
5,Sangiovese-Syrah
5,Savatiano
5,Sciaccerellu
5,Semillon-Chardonnay
5,Symphony
5,Syrah-Cabernet Franc
5,Sämling
5,Timorasso
5,Tinta Barroca
5,Verdeca
5,Verdejo-Sauvignon Blanc
5,Viosinho
5,Zierfandler-Rotgipfler
6,Avesso
6,Blanc du Bois
6,Chardonnay-Sauvignon
6,Chardonnay-Sauvignon Blanc
6,Chenin Blanc-Sauvignon Blanc
6,Feteascǎ Regalǎ
6,Garnacha-Tempranillo
6,Greco Bianco
6,Grenache-Mourvèdre
6,Kisi
6,Malvasia Nera
6,Maturana
6,Merlot-Malbec
6,Moscadello
6,Moscatel Roxo
6,Nerello Cappuccio
6,Pinot-Chardonnay
6,Prié Blanc
6,Rieslaner
6,Roter Traminer
6,Sangiovese-Cabernet Sauvignon
6,Susumaniello
6,Tannat-Syrah
6,Trousseau
6,Valdiguié
6,Verduzzo
7,Bual
7,Carmenère-Syrah
7,Chardonnay-Semillon
7,Duras
7,Feteasca Neagra
7,Gewürztraminer-Riesling
7,Jaen
7,Mantonico
7,Mauzac
7,Mavrud
7,Mission
7,Morillon
7,Narince
7,Nascetta
7,Syrah-Merlot
7,Syrah-Tempranillo
7,Tempranillo-Merlot
7,Teran
7,Tokay
7,Touriga Franca
7,Trebbiano Spoletino
7,Viognier-Roussanne
8,Altesse
8,Cabernet Sauvignon-Sangiovese
8,Carmenère-Cabernet Sauvignon
8,Cesanese d'Affile
8,Chasselas
8,Colombard-Ugni Blanc
8,Garnacha Tintorera
8,Manzoni
8,Nosiola
8,Okuzgozu
8,Posip
8,Sauvignon Blanc-Chardonnay
8,Sousão
8,Tempranillo-Shiraz
9,Carignan-Grenache
9,Durella
9,Grecanico
9,Johannisberg Riesling
9,Loin de l'Oeil
9,Malvasia Istriana
9,Tempranillo Blanco
9,Ugni Blanc-Colombard
10,Aragonez
10,Aragonês
10,Grenache Blend
10,Kekfrankos
10,Mataro
10,Muscadelle
10,Pallagrello
10,Perricone
10,Tocai
10,Traminette
10,Trepat
11,Black Muscat
11,Cabernet
11,Malbec-Cabernet Franc
11,Merlot-Cabernet
11,Neuburger
11,Refosco
11,Tannat-Merlot
11,Tinta Fina
11,Tinta Roriz
11,Vidal
11,Vignoles
12,Counoise
12,Malagousia
12,Muscat Blanc
12,Ruché
12,Siria
12,Viognier-Chardonnay
13,Bical
13,Cabernet-Syrah
13,Chenin Blanc-Viognier
13,Garnacha-Syrah
13,Pinot Auxerrois
13,Roter Veltliner
13,Roussanne-Viognier
13,Uva di Troia
13,Viura-Chardonnay
13,White Riesling
14,Pansa Blanca
14,Sauvignon Gris
15,Brachetto
15,Cabernet Sauvignon-Tempranillo
15,Carignano
15,Gaglioppo
15,Grauburgunder
15,Grechetto
15,Kalecik Karasi
15,Mondeuse
15,Prieto Picudo
15,Shiraz-Grenache
15,Syrah-Cabernet
16,Alfrocheiro
16,Baco Noir
16,Cabernet Franc-Cabernet Sauvignon
16,Malbec-Tannat
16,Malvasia Bianca
16,Moscato Giallo
16,Norton
16,Portuguese Rosé
16,Raboso
16,Seyval Blanc
16,Syrah-Petite Sirah
16,Tannat-Cabernet Franc
16,Zierfandler
17,Antão Vaz
17,Grenache-Carignan
17,Hondarrabi Zuri
17,Negrette
17,Plavac Mali
18,Assyrtiko
18,Cabernet Sauvignon-Malbec
18,Chambourcin
18,Coda di Volpe
18,Colombard-Sauvignon Blanc
18,Lambrusco Grasparossa
18,Palomino
18,Picpoul
18,Pinot Noir-Gamay
18,Syrah-Viognier
18,Tinto del Pais
19,Lambrusco di Sorbara
19,Nero di Troia
19,Touriga Nacional Blend
20,Cabernet Franc-Merlot
20,Malbec-Syrah
20,Orange Muscat
20,Piedirosso
20,Syrah-Mourvèdre
21,Cabernet Merlot
21,Cabernet Sauvignon-Cabernet Franc
21,Monastrell-Syrah
21,Xarel-lo
22,Corvina
22,Marsanne-Roussanne
22,Savagnin
22,Tocai Friulano
22,Verdejo-Viura
23,Albana
23,Bobal
23,Gamay Noir
23,Macabeo
23,Merlot-Cabernet Franc
23,Muskat Ottonel
23,Schiava
24,Colombard
24,Jacquère
